influencer_name,display_name,post_count,avg_likes,avg_comments,avg_views,total_likes,total_comments,account_type,country,followers_at_date,oldest_followers,FGR,first_post,last_post,category
merveoflaz,Merve Oflaz,100,2129.15,40.55,280485.02,212915,4055,creator,TR,1402425,1121940,-82.58,2025-11-11 13:40:31,2026-05-19 15:16:17,
merveozbeyofficial,Merve Özbey Koçak,100,8536.45,157.92,1027038.71,853645,15792,business,TR,5135194,4108155,-58.1,2024-09-03 09:56:49,2026-05-18 10:17:41,
merveozkaynak,Merve Özkaynak,100,2267.8,110.54,361059.12,226780,11054,creator,TR,1805296,1444236,35.37,2025-07-03 18:09:33,2026-05-19 16:17:10,
merveyalcin,Merve Yalçın,100,27287.98,2188.38,3180880.81,2728798,218838,creator,TR,15904404,12723523,-74.1,2023-08-15 14:06:37,2026-05-06 08:48:27,
mesutavsar,Mesut avşar,100,11514.7,309.63,1278635.85,1151470,30963,business,TR,6393179,5114543,-65.99,2025-07-21 15:44:37,2026-05-16 15:45:30,
mesutcantomay,Mesut Can Tomay,75,114782.77333333333,704.1066666666667,1583923.2533333334,8608708,52808,creator,TR,7919616,6335693,0.0,2017-08-27 17:09:12,2026-01-19 15:50:17,
mesutcevik,Mesut Cevik,100,2135.57,55.61,196284.98,213557,5561,business,TR,981425,785140,414.99,2025-03-25 05:26:51,2026-05-04 08:59:20,
mimar_mervemermer,Merve Mermer,100,2125.19,4.59,37174.74,212519,459,creator,TR,185874,148699,-51.97,2024-10-24 15:50:33,2026-05-17 18:15:15,
modamerve,Moda Merve,100,89.08,1.65,42279.91,8908,165,business,TR,211400,169120,30.74,2026-04-09 07:00:09,2026-04-14 03:30:04,
morkomedyen,Murat Genç,100,33295.85,683.51,1699901.61,3329585,68351,creator,TR,8499508,6799606,-49.87,2025-03-04 08:32:19,2026-05-18 11:16:08,
mrtyldrm,Murat Yıldırım,100,93334.4,1371.09,3608347.6,9333440,137109,creator,TR,18041738,14433390,-5.65,2023-04-14 11:48:03,2026-04-17 12:28:04,
muratavcionline,Murat Avcı,100,0.0,205.56,38581.5,0,20556,creator,TR,192908,154326,160.4,2026-01-11 19:05:21,2026-05-13 10:45:18,
muratboz,Murat Boz,100,12437.64,739.5,2688817.56,1243764,73950,creator,TR,13444088,10755270,-58.26,2024-07-25 11:33:18,2026-05-18 21:10:29,
muratdalkilic,Murat Dalkılıç,100,7340.02,120.58,498420.8,734002,12058,creator,TR,2492104,1993683,41.63,2025-06-01 14:07:19,2026-05-19 20:02:48,
muratsakaoglu,Murat Sakaoğlu,82,293655.1951219512,4297.682926829269,730829.7073170731,24079726,352410,creator,TR,3654149,2923319,0.0,2017-09-12 13:04:56,2025-06-02 16:43:51,
murattatikofficial,Muratt Atik,100,57579.1,9.39,32377.52,5757910,939,personal,TR,161888,129510,-44.29,2023-08-27 15:03:28,2026-04-20 18:06:46,
muromeroo,Murat Meral,100,24750.09,777.12,912260.72,2475009,77712,creator,TR,4561304,3649043,140.55,2025-10-26 19:48:10,2026-05-17 14:10:19,
nazcaglairmak,Naz Çağla Irmak,100,61388.15,329.83,2995944.36,6138815,32983,creator,TR,14979722,11983777,5.0,2024-01-05 13:16:27,2026-05-18 15:44:40,
nefisyemektarifleri,Nefis Yemek Tarifleri,100,15814.51,115.44,2211091.49,1581451,11544,creator,TR,11055457,8844366,-59.15,2026-04-06 12:34:04,2026-05-19 18:08:28,
nilaykececi,Uzman Diyetisyen Nilay Keçeci Arpacı,100,996.11,52.04,93000.15,99611,5204,business,TR,465001,372001,163.05,2026-02-04 16:59:04,2026-05-19 17:11:41,
orkunbaykut,Orkun Baykut,100,0.0,6.7,37395.36,0,670,business,TR,186977,149581,-45.2,2026-01-12 14:54:22,2026-05-19 16:41:20,
orkunisitmak,Orkun Işıtmak,100,61906.06,427.92,3827929.37,6190606,42792,creator,TR,19139647,15311717,-51.32,2023-08-01 15:50:22,2026-05-15 17:29:32,
orkunkokcu,Orkun Kökcü,100,108664.58,4624.04,2334800.71,10866458,462404,creator,TR,11674004,9339203,-9.04,2023-05-17 12:57:57,2026-04-24 09:27:35,
orkunolgar,Orkun Olgar / MACERASEVER,100,30197.08,504.76,533839.35,3019708,50476,business,TR,2669197,2135357,2.32,2025-12-12 14:26:55,2026-05-19 09:56:19,
ozkan8sevval,Özkan 𝐒̧𝐞𝐯𝐯𝐚𝐥  𝐓𝐞𝐦𝐢𝐳,100,22970.71,172.64,976183.95,2297071,17264,creator,TR,4880920,3904736,32.49,2026-01-09 13:11:16,2026-05-19 08:51:44,
prof.dr.ferhatcekmez,Ferhat çekmez,100,16208.79,256.79,618934.74,1620879,25679,creator,TR,3094674,2475739,-39.01,2025-06-12 15:31:24,2026-05-16 17:49:58,
rachelaraz,Rachel Araz Kiresepi,100,22709.49,186.81,739018.09,2270949,18681,creator,TR,3695090,2956072,-60.79,2025-11-01 17:12:49,2026-05-15 17:49:52,
refikabirgul,Refika'nın Mutfağı,100,12004.87,203.17,610209.14,1200487,20317,business,TR,3051046,2440837,-60.52,2025-09-05 14:32:39,2026-05-15 11:08:41,
refikaguzellik,Refika Beauty / Kalıcı Makyaj Merkezi,100,219.27,16.56,84136.59,21927,1656,business,TR,420683,336546,-28.23,2025-08-08 11:19:55,2026-05-15 10:20:48,
rotani_benimle_belirle,Zeynep özsoy,100,6725.9,309.08,1019970.05,672590,30908,creator,TR,5099850,4079880,-69.7,2026-03-17 20:55:09,2026-05-19 08:18:09,
senaseveer,Rabia Sena Sever,100,3607.01,45.14,323847.43,360701,4514,creator,TR,1619237,1295390,-25.88,2025-12-16 17:56:28,2026-05-19 18:25:53,
sendeyapsana,zeynep,100,7391.28,133.64,423534.33,739128,13364,creator,TR,2117672,1694137,0.0,2020-04-11 07:53:21,2026-02-28 18:40:06,
senolozkosee,Zeynep İkra Özköse,100,13572.35,86.72,33286.78,1357235,8672,creator,TR,166434,133147,0.0,2022-07-02 05:54:38,2025-08-08 08:28:26,
sevval0mertcan,Şevval Yıldız,100,190374.39,1040.44,5043387.36,19037439,104044,creator,TR,25216937,20173549,-45.09,2025-09-30 16:07:30,2026-05-19 18:54:28,
sevvalsam,Sevval Sam,100,47637.58,685.99,2132000.17,4763758,68599,business,TR,10660001,8528001,-82.94,2023-08-25 13:36:14,2026-04-24 09:39:26,
